page,xmin,ymin,xmax,ymax,text,is_upper,is_bold,span_font,font_size
1,161.5,268.4809875488281,223.76199340820312,278.4440002441406,PAGE EIGHT,True,True,TimesNewRomanPS-BoldMT,9.0
1,493.45001220703125,263.8810119628906,811.0781860351562,273.8440246582031,"THE BUCKNELLIAN, BUCKNELL UNIVERSITY, LEWISBURG. PENNA.",True,True,TimesNewRomanPS-BoldMT,9.0
1,1025.989990234375,260.7810363769531,1129.805419921875,270.7440490722656,"FRIDAY, MAY 20, 1960.",True,True,TimesNewRomanPS-BoldMT,9.0
1,159.08999633789062,291.9909973144531,231.24600219726562,306.6310119628906,. . .  Cheating,False,False,Impact,12.0
1,183.83999633789062,310.4800109863281,297.16790771484375,320.4430236816406,(Continued from page 6.),False,False,TimesNewRomanPSMT,9.0
1,160.2899932861328,320.5299377441406,320.77789306640625,330.4929504394531,the strictest fashion is considered,False,False,TimesNewRomanPSMT,9.0
1,160.08999633789062,330.6289367675781,320.9559020996094,340.5919494628906,directly responsible for cheating in,False,False,TimesNewRomanPSMT,9.0
1,160.7899932861328,341.6789855957031,219.19094848632812,351.6419982910156,examinations.,False,False,TimesNewRomanPSMT,9.0
1,170.63999938964844,352.9289855957031,180.08999633789062,362.8919982910156,A,True,False,TimesNewRomanPSMT,9.0
1,189.3419952392578,352.9289855957031,218.7269744873047,362.8919982910156,rather,False,False,TimesNewRomanPSMT,9.0
1,227.2769775390625,352.9289855957031,260.9279479980469,362.8919982910156,general,False,False,TimesNewRomanPSMT,9.0
1,269.98193359375,352.9289855957031,321.2008972167969,362.8919982910156,"assumption,",False,False,TimesNewRomanPSMT,9.0
1,161.2899932861328,363.2779846191406,278.7309265136719,373.2409973144531,"therefore, seems to be this:",False,False,TimesNewRomanPSMT,9.0
1,280.5400085449219,363.2779846191406,319.19500732421875,373.2409973144531,a student,False,True,TimesNewRomanPS-BoldMT,9.0
1,161.73899841308594,373.5769348144531,322.40692138671875,383.5399475097656,will cheat when he has reason to do,False,True,TimesNewRomanPS-BoldMT,9.0
1,326.3789978027344,373.5769348144531,359.5889892578125,383.5399475097656,"control,",False,False,TimesNewRomanPSMT,9.0
1,161.73899841308594,383.6770324707031,321.91204833984375,393.6400451660156,so (especially when he is under pres*,False,True,TimesNewRomanPS-BoldMT,9.0
1,322.53900146484375,383.6770324707031,365.12701416015625,393.6400451660156,] that for,False,False,TimesNewRomanPSMT,9.0
1,240.23899841308594,393.4769592285156,319.5921325683594,403.4399719238281,he has the oppor-,False,True,TimesNewRomanPS-BoldMT,9.0
1,162.68899536132812,394.2269592285156,234.6349639892578,404.1899719238281,sure) as long as,False,True,TimesNewRomanPS-BoldMT,9.0
1,162.68899536132812,404.5270080566406,229.58595275878906,414.4900207519531,lunity to do so.,False,True,TimesNewRomanPS-BoldMT,9.0
1,199.43899536132812,416.0759582519531,284.2729797363281,426.0389709472656,Degrees of Honesty,False,True,TimesNewRomanPS-BoldMT,9.0
1,172.29800415039062,426.1260070800781,322.89483642578125,436.0890197753906,The interviewer has distinguished,False,False,TimesNewRomanPSMT,9.0
1,163.447998046875,436.4750061035156,189.45799255371094,446.4380187988281,seven,False,False,TimesNewRomanPSMT,9.0
1,197.3059844970703,436.4750061035156,236.2489776611328,446.4380187988281,different,False,False,TimesNewRomanPSMT,9.0
1,243.844970703125,436.4750061035156,287.8459777832031,446.4380187988281,categories,False,False,TimesNewRomanPSMT,9.0
1,295.4419860839844,436.4750061035156,323.14404296875,446.4380187988281,which,False,False,TimesNewRomanPSMT,9.0
1,163.8979949951172,446.7749328613281,321.0830383300781,456.7379455566406,generally characterize the degree of,False,False,TimesNewRomanPSMT,9.0
1,163.8979949951172,456.8739318847656,486.3410339355469,466.8369445800781,academic honesty of Bucknell stu- ment of an official proctoring service,False,False,TimesNewRomanPSMT,9.0
1,163.8979949951172,467.1739807128906,190.89797973632812,477.1369934082031,dents:,False,False,TimesNewRomanPSMT,9.0
1,324.31610107421875,465.4804992675781,326.1860046386719,477.8179931640625,j,False,False,HelveticaLTMM_1_1000,5.751086711883545
1,328.2478942871094,467.1739807128906,483.5429992675781,477.1369934082031,which will provide two properly se-,False,False,TimesNewRomanPSMT,9.0
1,173.99789428710938,478.2229309082031,484.0027770996094,488.1859436035156,1. Students who are honest on the I lected and trainer proctors for ex-,False,False,TimesNewRomanPSMT,9.0
1,365.29791259765625,290.2685546875,442.76690673828125,299.67803955078125,Recom mendalions,False,False,TimesNewRomanPSMT,8.5
1,334.097900390625,302.5229797363281,483.4351501464844,312.4859924316406,On the basis of these reports and,False,False,TimesNewRomanPSMT,9.0
1,325.197998046875,312.6219787597656,483.68798828125,322.5849914550781,other information which has been,False,False,TimesNewRomanPSMT,9.0
1,325.447998046875,322.9220275878906,483.7221984863281,332.8850402832031,submitted to us by various groups,False,False,TimesNewRomanPSMT,9.0
1,325.697998046875,333.0210266113281,481.5511169433594,342.9840393066406,"and individuals, we feel that cheat-",False,False,TimesNewRomanPSMT,9.0
1,325.89801025390625,343.3199768066406,482.3091735839844,353.2829895019531,ing is a serious problem at this Uni-,False,False,TimesNewRomanPSMT,9.0
1,326.14801025390625,353.4199523925781,484.1519470214844,363.3829650878906,"versity, calling for immediate and",False,False,TimesNewRomanPSMT,9.0
1,326.14801025390625,363.5199279785156,484.6292419433594,373.4829406738281,effective measures to bring it under,False,False,TimesNewRomanPSMT,9.0
1,371.74798583984375,373.3199768066406,484.4098815917969,383.2829895019531,We therefore recommend,False,False,TimesNewRomanPSMT,9.0
1,370.7980041503906,383.4199523925781,485.14306640625,393.3829650878906,the protection of honest,False,False,TimesNewRomanPSMT,9.0
1,326.89801025390625,393.9690246582031,363.69903564453125,403.9320373535156,students,False,False,TimesNewRomanPSMT,9.0
1,374.4000244140625,393.9690246582031,395.8559875488281,403.9320373535156,each,False,False,TimesNewRomanPSMT,9.0
1,406.30499267578125,393.9690246582031,437.8500061035156,403.9320373535156,faculty,False,False,TimesNewRomanPSMT,9.0
1,448.8030090332031,393.9690246582031,485.1540222167969,403.9320373535156,member,False,False,TimesNewRomanPSMT,9.0
1,326.89801025390625,404.0680236816406,485.1273193359375,414.0310363769531,should review his test techniques,False,False,TimesNewRomanPSMT,9.0
1,327.3479919433594,414.3679504394531,485.15399169921875,424.3309631347656,and check the structure of his tests;,False,False,TimesNewRomanPSMT,9.0
1,327.3479919433594,424.4669494628906,483.7139892578125,434.4299621582031,he should take great care not to re-,False,False,TimesNewRomanPSMT,9.0
1,327.5979919433594,435.2669982910156,369.366943359375,445.2300109863281,peat tests.,False,False,TimesNewRomanPSMT,9.0
1,487.697998046875,288.8669738769531,645.7020263671875,298.8299865722656,priate committees of students and,False,False,TimesNewRomanPSMT,9.0
1,487.89801025390625,298.9170227050781,646.3883056640625,308.8800354003906,faculty members should continue to,False,False,TimesNewRomanPSMT,9.0
1,488.14801025390625,309.0160217285156,644.2891845703125,318.9790344238281,formulate plans for action to im-,False,False,TimesNewRomanPSMT,9.0
1,488.39801025390625,319.0649719238281,646.3840942382812,329.0279846191406,prove all phases of the intellectual,False,False,TimesNewRomanPSMT,9.0
